# depth maps
# file: 'rgbd_dataset_freiburg3_sitting_rpy.bag'
# timestamp filename
1341846092.023879 depth/1341846092.023879.png
1341846092.059910 depth/1341846092.059910.png
1341846092.091879 depth/1341846092.091879.png
1341846092.124614 depth/1341846092.124614.png
1341846092.159890 depth/1341846092.159890.png
1341846092.191834 depth/1341846092.191834.png
1341846092.228509 depth/1341846092.228509.png
1341846092.259865 depth/1341846092.259865.png
1341846092.291774 depth/1341846092.291774.png
1341846092.327844 depth/1341846092.327844.png
1341846092.359969 depth/1341846092.359969.png
1341846092.395867 depth/1341846092.395867.png
1341846092.428056 depth/1341846092.428056.png
1341846092.460027 depth/1341846092.460027.png
1341846092.495946 depth/1341846092.495946.png
1341846092.528086 depth/1341846092.528086.png
1341846092.560460 depth/1341846092.560460.png
1341846092.595832 depth/1341846092.595832.png
1341846092.628478 depth/1341846092.628478.png
1341846092.659812 depth/1341846092.659812.png
